2016-9-7  13:0,5406,9756,0.76677
2016-9-7  12:0,5406,9818,0.7661
2016-9-7  11:0,5415,9813,0.76581
2016-9-7  10:0,5421,9816,0.76706
2016-9-7  9:0,5416,9813,0.76778
2016-9-7  8:0,5411.2,9811,0.76725
2016-9-7  7:0,5425.2,9816,0.76708
2016-9-7  6:0,5426.2,9816,0.76691
2016-9-7  5:0,5432.2,9826,0.7666500000000001
2016-9-7  4:0,5410.2,9818,0.76707
2016-9-7  3:0,5402.7,9818,0.76823
2016-9-7  2:0,5408.8,9808,0.76766
2016-9-7  1:0,0.76824
2016-9-7  0:0,0.76877
2016-9-6  23:0,5406.8,9803,0.76835
2016-9-6  22:0,5402.8,9808,0.76819
2016-9-6  21:0,5402.8,9818,0.76827
2016-9-6  20:0,5399.8,9821,0.76746
2016-9-6  19:0,5386.8,9826,0.7673
2016-9-6  18:0,5397.8,9808,0.76755
2016-9-6  17:0,5401.8,9796,0.76241
2016-9-6  16:0,5401.8,9798,0.7619
2016-9-6  15:0,5400.8,9793,0.76276
2016-9-6  14:0,5399.8,9791,0.76349
2016-9-6  13:0,5399.8,9801,0.76398
2016-9-6  12:0,5400.8,9796,0.76396
2016-9-6  11:0,5410.8,9781,0.7645
2016-9-6  10:0,5411.8,9783,0.76367
2016-9-6  9:0,5409.8,9783,0.76272
2016-9-6  8:0,5418.8,9778,0.76217
2016-9-6  7:0,5412.8,9763,0.76336
2016-9-6  6:0,5411.8,9768,0.76285
2016-9-6  5:0,5413.8,9753,0.76167
2016-9-6  4:0,5413.8,9768,0.76013
2016-9-6  3:0,5408.8,9773,0.7591
2016-9-6  2:0,5402.6,9791,0.75845
2016-9-6  1:0,0.75842
2016-9-6  0:0,0.7583800000000001
2016-9-5  23:0,5413.6,9771,0.75851
2016-9-5  22:0,5415.6,9746,0.7583299999999999
2016-9-5  21:0,5414.6,9733,0.7585499999999999
2016-9-5  20:0,5410.6,9723,0.75874
2016-9-5  19:0,5406.6,9731,0.75876
2016-9-5  18:0,5406.6,9746,0.7582100000000001
2016-9-5  17:0,5414.6,9743,0.7579900000000001
2016-9-5  16:0,5416.6,9746,0.7582100000000001
2016-9-5  15:0,5419.6,9748,0.75883
2016-9-5  14:0,5417.6,9743,0.75878
2016-9-5  13:0,5422.6,9738,0.7596000000000001
2016-9-5  12:0,5423.6,9743,0.7599399999999999
2016-9-5  11:0,5425.1,9746,0.76
2016-9-5  10:0,5421.6,9801,0.75985
2016-9-5  9:0,5430.6,9808,0.76
2016-9-5  8:0,5424.6,9811,0.76009
2016-9-5  7:0,5429.6,9791,0.75936
2016-9-5  6:0,5421.6,9791,0.75932
2016-9-5  5:0,5420.6,9793,0.75798
2016-9-5  4:0,5397.6,9781,0.75732
2016-9-5  3:0,5386,9788,0.7564
2016-9-5  2:0,5389.4,9783,0.75706
2016-9-5  1:0,0.7572
2016-9-5  0:0,0.75691
2016-9-2  23:0,5391.4,9793,0.75681
2016-9-2  22:0,5383.4,9793,0.75663
2016-9-2  21:0,5385.4,9801,0.7564
2016-9-2  20:0,5392.4,9798,0.75663
2016-9-2  19:0,5389.4,9798,0.7556
2016-9-2  18:0,5390.4,9796,0.75484
2016-9-2  17:0,5375.4,9801,0.75853
2016-9-2  16:0,5354.4,9793,0.7582
2016-9-2  15:0,5361.4,9796,0.7557199999999999
2016-9-2  14:0,5359.4,9818,0.75446
2016-9-2  13:0,5359.4,9811,0.75454
2016-9-2  12:0,5357.4,9786,0.75421
2016-9-2  11:0,5350.4,9763,0.7541
2016-9-2  10:0,5371.4,9736,0.7539400000000001
2016-9-2  9:0,5372.4,9741,0.7559399999999999
2016-9-2  8:0,5374.4,9741,0.75558
2016-9-2  7:0,5369.4,9736,0.75553
2016-9-2  6:0,5374.4,9748,0.75535
2016-9-2  5:0,5393.4,9751,0.75487
2016-9-2  4:0,5405.4,9751,0.75476
2016-9-2  3:0,5406.4,9748,0.75501
2016-9-2  2:0,5406.8,9743,0.75528
2016-9-2  1:0,0.75506
2016-9-2  0:0,0.7551
2016-9-1  23:0,5396.8,9736,0.75542
2016-9-1  22:0,5395.8,9731,0.75551
2016-9-1  21:0,5399.8,9753,0.75491
2016-9-1  20:0,5384.8,9761,0.75544
2016-9-1  19:0,5380.8,9746,0.75401
2016-9-1  18:0,5397.8,9748,0.75454
2016-9-1  17:0,5411.8,9731,0.75117
2016-9-1  16:0,5423.8,9741,0.7516
2016-9-1  15:0,5420.8,9733,0.75332
2016-9-1  14:0,5414.8,9721,0.75403
2016-9-1  13:0,5424.8,9716,0.75309
2016-9-1  12:0,5423.8,9706,0.75379
2016-9-1  11:0,5416.8,9706,0.75239
2016-9-1  10:0,5412.8,9696,0.7544
2016-9-1  9:0,5426.8,9688,0.7536
2016-9-1  8:0,5429.8,9701,0.75399
2016-9-1  7:0,5418.8,9701,0.75371
2016-9-1  6:0,5411.8,9698,0.75347
2016-9-1  5:0,5419.8,9703,0.7541099999999999
2016-9-1  4:0,5406.8,9708,0.75237
2016-9-1  3:0,5384.3,9703,0.75187
2016-9-1  2:0,5403.1,9738,0.75206
2016-9-1  1:0,0.75146
2016-9-1  0:0,0.75165
2016-8-31  23:0,5397.8,9731,0.75151
2016-8-31  22:0,5397.8,9728,0.7513300000000001
2016-8-31  21:0,5392.8,9671,0.75138
2016-8-31  20:0,5401.8,9718,0.75209
2016-8-31  19:0,5402.8,9728,0.75179
2016-8-31  18:0,5423.8,9761,0.75148
2016-8-31  17:0,5424.8,9768,0.75102
2016-8-31  16:0,5432.8,9748,0.75004
2016-8-31  15:0,5430.8,9741,0.75177
2016-8-31  14:0,5431.8,9743,0.75136
2016-8-31  13:0,5430.8,9738,0.75173
2016-8-31  12:0,5435.8,9738,0.7521
2016-8-31  11:0,5415.8,9738,0.7510599999999999
2016-8-31  10:0,5438.8,9736,0.75014
2016-8-31  9:0,5437.8,9731,0.7515500000000001
2016-8-31  8:0,5429.8,9738,0.75275
2016-8-31  7:0,5419.8,9773,0.7521099999999999
2016-8-31  6:0,5426.8,9773,0.75296
2016-8-31  5:0,5418.8,9768,0.75251
2016-8-31  4:0,5470.8,9761,0.75147
2016-8-31  3:0,5473.3,9733,0.75231
2016-8-31  2:0,5480.7,9733,0.75153
2016-8-31  1:0,0.7512799999999999
2016-8-31  0:0,0.75082
2016-8-30  23:0,5474.7,9733,0.7508
2016-8-30  22:0,5481.7,9726,0.75093
2016-8-30  21:0,5483.7,9728,0.75041
2016-8-30  20:0,5486.7,9713,0.75137
2016-8-30  19:0,5483.7,9718,0.7514
2016-8-30  18:0,5492.5,9716,0.7511100000000001
2016-8-30  17:0,5486.5,9716,0.75298
2016-8-30  16:0,5483.5,9713,0.75367
2016-8-30  15:0,5484.5,9726,0.75508
2016-8-30  14:0,5483.5,9738,0.7551099999999999
2016-8-30  13:0,5489.5,9736,0.75505
2016-8-30  12:0,5481.5,9706,0.75498
2016-8-30  11:0,5476,9708,0.75504
2016-8-30  10:0,5484.5,9723,0.7557
2016-8-30  9:0,5480.5,9723,0.75718
2016-8-30  8:0,5493.5,9781,0.75709
2016-8-30  7:0,5499.5,9791,0.7572
2016-8-30  6:0,5497.5,9786,0.75651
2016-8-30  5:0,5495.5,9783,0.75621
2016-8-30  4:0,5513.5,9791,0.7567700000000001
2016-8-30  3:0,5492,9793,0.75748
2016-8-30  2:0,5485.9,9796,0.7574
2016-8-30  1:0,0.75746
2016-8-30  0:0,0.7568
2016-8-29  23:0,5482.9,9796,0.75743
2016-8-29  22:0,5486.9,9796,0.75763
2016-8-29  21:0,5483.9,9793,0.75767
2016-8-29  20:0,5484.9,9786,0.75682
2016-8-29  19:0,5474.9,9783,0.7573800000000001
2016-8-29  18:0,5475.9,9798,0.75654
2016-8-29  17:0,5471.9,9813,0.75646
2016-8-29  16:0,5468.9,9813,0.75482
2016-8-29  15:0,5466.9,9771,0.75483
2016-8-29  14:0,5466.9,9826,0.7557700000000001
2016-8-29  13:0,5467.9,9848,0.75598
2016-8-29  12:0,5460.9,9851,0.75546
2016-8-29  11:0,5460.9,9856,0.75424
2016-8-29  10:0,5465.9,9856,0.75493
2016-8-29  9:0,5457.4,9861,0.75513
2016-8-29  8:0,5456.9,9851,0.755
2016-8-29  7:0,5457.4,9856,0.75481
2016-8-29  6:0,5464.9,9853,0.75432
2016-8-29  5:0,5470.7,9851,0.75334
2016-8-29  4:0,5505.9,9846,0.75414
2016-8-29  3:0,5500.9,9841,0.754
2016-8-29  2:0,5508.9,9846,0.75529
2016-8-29  1:0,0.75529
2016-8-29  0:0,0.75557
2016-8-26  23:0,5496.9,9851,0.75602
2016-8-26  22:0,5499.9,9876,0.75537
2016-8-26  21:0,5506.9,9873,0.75797
2016-8-26  20:0,5511.9,9873,0.75996
2016-8-26  19:0,5537.9,9856,0.7614
2016-8-26  18:0,5519.9,9813,0.76557
2016-8-26  17:0,5510.9,9818,0.76536
2016-8-26  16:0,5506.9,9806,0.76651
2016-8-26  15:0,5506.9,9816,0.76413
2016-8-26  14:0,5511.9,9808,0.76327
2016-8-26  13:0,5511.9,9816,0.76325
2016-8-26  12:0,5512.9,9813,0.76295
2016-8-26  11:0,5503.4,9811,0.7631599999999999
2016-8-26  10:0,5520.9,9821,0.76336
2016-8-26  9:0,5527.9,9823,0.76386
2016-8-26  8:0,5527.9,9826,0.76326
2016-8-26  7:0,5531.9,9818,0.76326
2016-8-26  6:0,5531.9,9836,0.76293
2016-8-26  5:0,5532.9,9806,0.76286
2016-8-26  4:0,5533.9,9803,0.7629899999999999
2016-8-26  3:0,5527.4,9818,0.76232
2016-8-26  2:0,5540.9,9833,0.76235
2016-8-26  1:0,0.76178
2016-8-26  0:0,0.76164
2016-8-25  23:0,5534.9,9821,0.76165
2016-8-25  22:0,5539.9,9831,0.7615
2016-8-25  21:0,5542.9,9833,0.76144
2016-8-25  20:0,5541.9,9828,0.7612
2016-8-25  19:0,5538.9,9813,0.761
2016-8-25  18:0,5529.9,9816,0.76095
2016-8-25  17:0,5532.9,9811,0.76133
2016-8-25  16:0,5534.9,9811,0.7605
2016-8-25  15:0,5531.9,9816,0.76102
2016-8-25  14:0,5535.9,9826,0.76172
2016-8-25  13:0,5524.9,9838,0.76258
2016-8-25  12:0,5526.9,9846,0.76228
